model,example_level,correct,total
mistral,-5,1,50
mistral,-4,4,60
mistral,-3,6,70
mistral,-2,9,80
mistral,-1,12,90
mistral,0,24,100
mistral,1,21,100
mistral,2,17,100
mistral,3,23,100
mistral,4,20,100
mistral,5,28,100
mpt,-5,0,50
mpt,-4,0,60
mpt,-3,2,70
mpt,-2,4,80
mpt,-1,5,90
mpt,0,10,100
mpt,1,9,100
mpt,2,9,100
mpt,3,4,100
mpt,4,4,100
mpt,5,3,100
phi,-5,5,50
phi,-4,4,60
phi,-3,10,70
phi,-2,7,80
phi,-1,6,90
phi,0,15,100
phi,1,12,100
phi,2,10,100
phi,3,12,100
phi,4,13,100
phi,5,11,100
vicuna,-5,0,50
vicuna,-4,0,60
vicuna,-3,0,70
vicuna,-2,0,80
vicuna,-1,1,90
vicuna,0,5,100
vicuna,1,0,100
vicuna,2,2,100
vicuna,3,7,100
vicuna,4,7,100
vicuna,5,4,100
yi,-5,0,50
yi,-4,3,60
yi,-3,3,70
yi,-2,6,80
yi,-1,8,90
yi,0,20,100
yi,1,24,100
yi,2,35,100
yi,3,32,100
yi,4,34,100
yi,5,32,100
